,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_bp_mean_mag,phot_rp_mean_mag,l,b,phot_g_mean_mag,radial_velocity,radial_velocity_error,probability,stability,label
72,5969974442318020480,253.0620325718338,0.032493122,-39.70289065905531,0.021287262,5.511626448450593,0.035726845,-10.438951389531473,0.04323552,-20.78679655164359,0.03596899,1.0546967,17.025522,14.29921,344.8794458670805,2.8074666997849613,15.503017,-39.208633,6.1612883,0.4965986394557823,147,1
73,5969975713628552192,252.9806706337933,0.44335398,-39.63583690631667,0.2732473,6.178873502334062,0.4856509,-10.819838605144124,0.5741032,-20.143280106871913,0.45663092,1.0607201,21.40557,18.475563,344.8915569963369,2.898417822686419,20.015343,,,0.10884353741496598,147,1
77,5969985373048251648,253.46339992666734,0.0218659,-39.61540427539899,0.014377528,5.8407314613011625,0.024279743,-10.95565554600554,0.03181697,-22.15780217534345,0.024877684,1.0285864,16.216642,13.625137,345.14289337106993,2.6233945568859682,14.795259,8.241634,10.373763,0.6598639455782312,147,1
78,5969998287971561600,253.26685129053544,0.02858881,-39.49693761417813,0.018200707,5.632789523339972,0.031121304,-10.442817830047465,0.043481883,-21.13442252297014,0.03344116,1.0553004,16.827806,14.112321,345.139093087547,2.8157068322051306,15.314261,,,0.5170068027210885,147,1
79,6017495682789427968,248.7204205764261,0.068250574,-39.19081120741125,0.048479408,5.969953766139846,0.08331806,-13.369817373482535,0.08270072,-20.802199821086155,0.06867008,2.0968325,17.354343,14.271998,343.0716047762416,5.679821402827304,15.590626,7.719359,10.022482,0.23809523809523808,147,1
80,5970002724718034560,253.18891371211384,0.028198471,-39.391631884598326,0.017546166,5.714904375624643,0.032430083,-11.13197172932729,0.042453688,-21.990614528661425,0.03206134,1.0944452,16.726181,13.925488,345.1826472096349,2.9289302320225628,15.147628,,,0.7619047619047619,147,1
81,5970002724718035072,253.1873696907294,0.027113946,-39.39112741583645,0.017781533,5.7374511926695675,0.031426765,-11.679298823812026,0.04225733,-21.349320513085647,0.031962693,1.1068697,16.737823,13.797073,345.1822822307189,2.930173416430639,15.059091,,,1.0,147,1
82,5970003137035018880,253.3224660038351,0.03351813,-39.40179133488559,0.021042973,5.636301153322744,0.03650964,-10.885789467649204,0.04835924,-21.324635329414512,0.036339067,1.156869,16.95249,14.1246,345.2400963988623,2.842544567604126,15.350876,,,0.7074829931972789,147,1
83,5970010008983878272,253.38767749495025,0.03525007,-39.2667989212458,0.022796916,5.662748151870281,0.03898832,-10.361919162041904,0.054038323,-21.206994586621583,0.03948263,1.0359452,17.268244,14.391604,345.37680128434073,2.8886474726663365,15.630755,,,0.46938775510204084,147,1
84,5970023993404556416,252.91260223500944,0.0571442,-39.5458328038031,0.039007697,5.570428640282905,0.066204354,-10.62285038547002,0.08151554,-20.423861865294224,0.062204074,1.1072667,18.57104,15.056646,344.92781604393986,2.9960957276212263,16.42304,,,0.3741496598639456,147,1
85,5943239065488618240,251.7938656829493,0.100927755,-45.3130723767168,0.070314184,5.744658904888067,0.11996379,-12.271457964644231,0.1444978,-22.434910649040262,0.12348215,1.0397737,19.921354,16.239176,339.97197492200365,-0.07023946187059321,17.656698,,,0.25170068027210885,147,1
86,5967725326864283264,250.81335429647487,0.1326051,-42.74338826171991,0.084636286,5.588775686556284,0.15002747,-12.404293367722047,0.164788,-20.81459370646125,0.12940311,3.8861523,17.213081,13.8875885,341.4621693329737,2.1388955257353293,15.244891,,,0.7891156462585034,147,1
88,5970049793222253440,253.20148419133864,0.09691638,-39.34635669101953,0.058993295,5.677722151219895,0.101324484,-11.209357594255689,0.148195,-22.147214911139855,0.104004964,1.009866,19.700739,16.098331,345.2239099632746,2.950052360599071,17.451197,,,0.7210884353741497,147,1
89,5970057695957697408,253.09997307096617,0.09203695,-39.098305307339714,0.053307593,5.639530313469321,0.09805284,-11.160697439276223,0.118564285,-21.85500884211951,0.08866646,0.9723366,19.065926,16.04973,345.3663478484071,3.1679583803501252,17.332212,,,0.7687074829931972,147,1
90,5970070379027952896,252.9892840117171,0.029593594,-39.05962209984563,0.019174594,5.588835263970081,0.032760087,-10.611335555861832,0.043689847,-21.142987091440933,0.034324683,1.0376692,16.990505,14.129273,345.34175737291525,3.258935213552045,15.365314,47.232502,6.8814607,0.5782312925170068,147,1
91,5970070379047687680,252.9928710198159,0.06545161,-39.062177427361604,0.04030624,5.5916870356763475,0.07194485,-10.513758683818434,0.095921874,-21.629079366413205,0.07179639,1.0668268,18.720018,15.260761,345.3415486079825,3.2551611241081693,16.64051,,,0.48299319727891155,147,1
92,5989993254842042240,244.7833899837941,0.013321866,-46.39391521449415,0.009369283,5.444615497639566,0.01658928,-12.639704696675192,0.016650684,-20.190272836703738,0.012420759,1.0126826,14.553934,12.549094,335.85824126731586,2.7725434891921004,13.547211,4.0109468,2.0030584,0.17006802721088435,147,1
93,5970075567369440256,253.1316194270564,0.046631657,-39.034255601968155,0.02927299,6.278059998125358,0.04905712,-12.360366885846883,0.064256415,-23.26089267539161,0.05016852,1.0165052,18.044819,14.890127,345.4315780307318,3.189503553520449,16.199028,,,0.2857142857142857,147,1
94,5970078762825221504,253.16202357104942,0.074935965,-38.90636924922427,0.043040894,5.739254376124004,0.084849134,-11.17947774598917,0.10594294,-22.10236063653457,0.07595099,0.98639625,18.79447,15.492434,345.5457293774338,3.2521477526530997,16.802488,,,0.7482993197278912,147,1
95,6018713563703513856,247.76207270471085,0.11693894,-37.416651463307055,0.0868955,5.624816348885363,0.1374808,-13.075036233180507,0.16778553,-21.817376560455912,0.122200385,1.0813127,19.902046,16.035585,343.87682624537,7.432878945966342,17.45347,,,0.5510204081632653,147,1
96,5992441828558435072,244.61155901436754,0.01111791,-42.968161756748366,0.0074235196,5.729242919437826,0.01363344,-14.209314813916198,0.0134023735,-20.81708468493018,0.009363873,0.90164757,13.664806,11.992195,338.1805237954325,5.299459152485648,12.871482,4.002819,2.9991388,0.14285714285714285,147,1
98,5992457707091076736,244.34464075132973,0.013569811,-42.83809505023629,0.008797308,5.59337118634521,0.016300928,-12.784077943840392,0.01599887,-20.578790329265914,0.011140131,0.80846405,9.428706,8.860428,338.1319776390848,5.529261795514572,9.221406,3.2312171,0.7715446,0.5034013605442177,147,1
99,5943308162926219264,250.65010621714907,0.016248843,-44.68614735621993,0.012572636,5.772765277622552,0.019800559,-12.872054793127173,0.025605705,-22.379421020146587,0.02245216,0.8247911,8.880507,8.537979,339.9192602419531,0.9516808788797925,8.766854,-0.5008652,0.94123185,0.21768707482993196,147,1
100,5967790571701042048,250.28533194951058,0.11698915,-42.434887054824145,0.070767485,5.164305252758336,0.13555449,-10.785787820574953,0.15140577,-20.38434514999613,0.1307234,1.1907678,19.267887,15.515286,341.43852991974853,2.6346120222763467,16.935917,,,0.272108843537415,147,1
101,5967794042034594176,250.1184297702076,0.0827718,-42.42709694937157,0.053388655,5.85547143641946,0.097161055,-12.66929769526313,0.114909194,-22.27910439605687,0.100582354,0.8918892,19.13923,15.683429,341.3628242942446,2.7321692390365664,17.021526,,,0.5510204081632653,147,1
